id,connections,avg_query_time_ms,slow_queries,created_at
1,11,2.6000,0,"2025-12-30 00:37:05"
2,33,4.7000,0,"2025-12-30 00:37:05"
3,25,4.2000,0,"2025-12-30 00:37:05"
4,40,3.7000,0,"2025-12-30 00:37:05"
5,2,1.1000,0,"2025-12-30 00:37:05"
6,9,1.6000,0,"2025-12-30 00:37:05"
7,2,2.3000,0,"2025-12-30 00:37:05"
8,6,0.9000,0,"2025-12-30 00:37:05"
9,19,1.7000,0,"2022-06-20 22:55:23"
10,50,1.3000,0,"2022-06-20 22:55:23"
11,3,4.9000,0,"2022-06-20 22:55:23"
12,8,3.9000,0,"2022-06-20 22:55:23"
13,2,1.1000,0,"2022-06-20 22:55:23"
14,6,0.8000,0,"2022-06-20 22:55:23"
15,30,4.9000,0,"2021-07-14 22:59:04"
16,14,2.9000,1,"2021-07-14 22:59:04"
17,5,2.2000,0,"2021-07-14 22:59:04"
18,9,2.8000,0,"2021-07-14 22:59:04"
19,8,3.1000,0,"2021-07-14 22:59:04"
20,4,4.9000,0,"2021-07-14 22:59:04"
21,49,3.2000,0,"2021-09-21 03:23:37"
22,12,2.0000,1,"2021-09-21 03:23:37"
23,36,3.0000,0,"2021-09-21 03:23:37"
24,2,1.2000,0,"2021-09-21 03:23:37"
25,5,1.4000,0,"2021-09-21 03:23:37"
26,4,3.6000,0,"2021-09-21 03:23:37"
27,8,4.3000,0,"2021-09-21 03:23:37"
28,8,3.2000,0,"2021-09-21 03:23:37"
29,44,2.9000,0,"2020-08-28 14:59:01"
30,47,0.8000,0,"2020-08-28 14:59:01"
31,28,3.9000,0,"2020-08-28 14:59:01"
32,50,3.4000,0,"2020-08-28 14:59:01"
33,34,2.4000,0,"2020-04-27 23:16:53"
34,13,3.0000,0,"2020-04-27 23:16:53"
35,5,0.6000,0,"2020-04-27 23:16:53"
36,7,3.8000,0,"2020-04-27 23:16:53"
37,9,0.6000,0,"2020-04-27 23:16:53"
38,7,4.9000,0,"2020-04-27 23:16:53"
39,13,3.8000,0,"2025-02-03 18:38:17"
40,31,3.4000,0,"2025-02-03 18:38:17"
41,49,4.2000,0,"2025-02-03 18:38:17"
42,44,2.1000,0,"2025-02-03 18:38:17"
43,32,2.5000,0,"2025-02-03 18:38:17"
44,10,4.5000,0,"2025-02-03 18:38:17"
45,5,2.2000,0,"2025-02-03 18:38:17"
46,6,4.1000,0,"2025-02-03 18:38:17"
47,27,2.2000,0,"2021-05-17 16:07:31"
48,39,5.0000,0,"2021-05-17 16:07:31"
49,38,3.4000,0,"2021-05-17 16:07:31"
50,31,3.2000,0,"2021-05-17 16:07:31"
51,42,3.0000,0,"2021-05-17 16:07:31"
52,26,3.4000,0,"2021-05-17 16:07:31"
53,21,2.0000,1,"2021-05-17 16:07:31"
54,45,5.0000,0,"2021-05-17 16:07:31"
55,39,1.9000,0,"2024-08-29 02:25:32"
56,12,1.5000,0,"2024-08-29 02:25:32"
57,6,1.8000,0,"2024-08-29 02:25:32"
58,3,1.5000,0,"2024-08-29 02:25:32"
59,10,4.5000,0,"2024-08-29 02:25:32"
60,10,4.8000,1,"2024-08-29 02:25:32"
61,8,4.0000,0,"2024-08-29 02:25:32"
62,4,1.4000,0,"2024-08-29 02:25:32"
63,49,1.1000,0,"2025-09-09 23:32:52"
64,24,4.2000,0,"2025-09-09 23:32:52"
65,6,3.5000,0,"2025-09-09 23:32:52"
66,5,2.6000,0,"2025-09-09 23:32:52"
67,7,2.4000,1,"2025-09-09 23:32:52"
68,2,3.0000,0,"2025-09-09 23:32:52"
69,24,0.9000,0,"2024-09-03 00:51:18"
70,19,1.9000,0,"2024-09-03 00:51:18"
71,39,2.4000,0,"2024-09-03 00:51:18"
72,7,4.0000,0,"2024-09-03 00:51:18"
73,9,1.5000,0,"2024-09-03 00:51:18"
74,4,4.0000,0,"2024-09-03 00:51:18"
75,4,1.2000,0,"2024-09-03 00:51:18"
76,3,3.6000,0,"2024-09-03 00:51:18"
77,30,4.5000,0,"2023-01-31 01:13:29"
78,21,3.7000,0,"2023-01-31 01:13:29"
79,9,1.7000,0,"2023-01-31 01:13:29"
80,6,3.7000,1,"2023-01-31 01:13:29"
81,10,1.6000,0,"2023-01-31 01:13:29"
82,3,2.9000,0,"2023-01-31 01:13:29"
83,20,0.6000,0,"2024-01-24 15:02:02"
84,13,0.5000,0,"2024-01-24 15:02:02"
85,37,1.6000,0,"2024-01-24 15:02:02"
86,20,0.6000,0,"2024-01-24 15:02:02"
87,20,2.5000,0,"2024-01-24 15:02:02"
88,28,1.3000,0,"2024-01-24 15:02:02"
89,38,4.4000,0,"2024-07-03 20:21:02"
90,23,1.9000,0,"2024-07-03 20:21:02"
91,8,4.9000,0,"2024-07-03 20:21:02"
92,6,4.2000,0,"2024-07-03 20:21:02"
93,6,4.0000,0,"2024-07-03 20:21:02"
94,7,4.9000,0,"2024-07-03 20:21:02"
95,35,2.1000,0,"2022-03-22 21:18:07"
96,20,3.3000,0,"2022-03-22 21:18:07"
97,11,3.4000,0,"2022-03-22 21:18:07"
98,6,2.9000,0,"2022-03-22 21:18:07"
99,2,2.7000,0,"2022-03-22 21:18:07"
100,10,2.4000,0,"2022-03-22 21:18:07"
101,4,4.1000,0,"2022-03-22 21:18:07"
102,7,1.2000,0,"2022-03-22 21:18:07"
103,42,4.3000,0,"2021-04-12 20:31:48"
104,45,2.4000,0,"2021-04-12 20:31:48"
105,24,1.1000,0,"2021-04-12 20:31:48"
106,28,3.8000,0,"2021-04-12 20:31:48"
107,38,4.5000,0,"2021-04-12 20:31:48"
108,9,1.1000,0,"2021-04-12 20:31:48"
109,3,3.4000,0,"2021-04-12 20:31:48"
110,10,2.2000,0,"2021-04-12 20:31:48"
111,25,4.6000,0,"2022-06-13 13:23:55"
112,76,5.2000,0,"2022-06-13 13:23:55"
113,20,0.7000,0,"2024-03-11 19:46:28"
114,12,1.9000,0,"2024-03-11 19:46:28"
115,22,4.5000,0,"2024-03-11 19:46:28"
116,4,3.9000,0,"2024-03-11 19:46:28"
117,2,2.1000,0,"2024-03-11 19:46:28"
118,3,1.9000,0,"2024-03-11 19:46:28"
119,32,2.8000,0,"2023-01-02 20:25:29"
120,30,5.0000,0,"2023-01-02 20:25:29"
121,31,3.3000,0,"2023-01-02 20:25:29"
122,3,1.5000,0,"2023-01-02 20:25:29"
123,6,1.7000,0,"2023-01-02 20:25:29"
124,5,3.8000,0,"2023-01-02 20:25:29"
125,17,0.9000,1,"2023-05-29 18:10:52"
126,45,0.8000,0,"2023-05-29 18:10:52"
127,26,2.4000,0,"2023-05-29 18:10:52"
128,44,1.5000,0,"2023-05-29 18:10:52"
129,18,4.1000,0,"2023-05-29 18:10:52"
130,8,2.8000,0,"2023-05-29 18:10:52"
131,50,4.9000,0,"2024-08-22 15:46:52"
132,10,2.7000,0,"2024-08-22 15:46:52"
133,16,0.5000,0,"2024-08-22 15:46:52"
134,18,1.2000,0,"2024-08-22 15:46:52"
135,14,3.2000,0,"2024-08-22 15:46:52"
136,20,1.0000,0,"2024-08-22 15:46:52"
137,34,4.1000,0,"2021-01-12 13:40:05"
138,36,0.7000,0,"2021-01-12 13:40:05"
139,20,2.1000,0,"2021-01-12 13:40:05"
140,26,2.8000,0,"2021-01-12 13:40:05"
141,32,1.9000,0,"2021-01-12 13:40:05"
142,15,1.3000,0,"2021-01-12 13:40:05"
143,44,3.8000,0,"2024-06-17 20:23:12"
144,32,3.1000,0,"2024-06-17 20:23:12"
145,10,2.7000,0,"2024-06-17 20:23:12"
146,4,4.0000,0,"2024-06-17 20:23:12"
147,9,4.7000,0,"2024-06-17 20:23:12"
148,7,3.6000,0,"2024-06-17 20:23:12"
149,28,3.4000,0,"2020-04-13 18:20:51"
150,38,4.8000,0,"2020-04-13 18:20:51"
151,33,3.1000,0,"2020-04-13 18:20:51"
152,36,2.0000,0,"2020-04-13 18:20:51"
153,47,0.5000,0,"2020-04-13 18:20:51"
154,22,3.1000,0,"2020-04-13 18:20:51"
155,43,3.9000,0,"2020-04-13 18:20:51"
156,2,2.3000,0,"2020-04-13 18:20:51"
157,45,0.7000,0,"2023-11-17 01:21:15"
158,28,4.1000,0,"2023-11-17 01:21:15"
159,2,4.8000,0,"2023-11-17 01:21:15"
160,8,3.7000,0,"2023-11-17 01:21:15"
161,5,1.4000,0,"2023-11-17 01:21:15"
162,7,3.3000,0,"2023-11-17 01:21:15"
163,38,1.6000,0,"2025-04-21 23:57:55"
164,45,2.3000,0,"2025-04-21 23:57:55"
165,34,2.4000,0,"2025-04-21 23:57:55"
166,2,4.6000,0,"2025-04-21 23:57:55"
167,10,0.9000,0,"2025-04-21 23:57:55"
168,4,4.2000,0,"2025-04-21 23:57:55"
169,8,4.6000,0,"2025-04-21 23:57:55"
170,10,4.9000,0,"2025-04-21 23:57:55"
171,32,4.5000,0,"2025-10-23 21:12:57"
172,16,1.5000,0,"2025-10-23 21:12:57"
173,25,2.3000,0,"2025-10-23 21:12:57"
174,24,1.5000,0,"2025-10-23 21:12:57"
175,7,1.7000,0,"2025-10-23 21:12:57"
176,5,1.9000,0,"2025-10-23 21:12:57"
177,9,1.9000,0,"2025-10-23 21:12:57"
178,4,1.5000,0,"2025-10-23 21:12:57"
179,32,5.0000,0,"2020-08-31 20:52:13"
180,34,1.0000,0,"2020-08-31 20:52:13"
181,40,1.0000,0,"2020-08-31 20:52:13"
182,3,5.0000,0,"2020-08-31 20:52:13"
183,3,4.4000,0,"2020-08-31 20:52:13"
184,2,4.2000,1,"2020-08-31 20:52:13"
185,42,3.6000,0,"2024-11-12 04:43:56"
186,39,4.1000,0,"2024-11-12 04:43:56"
187,43,1.7000,0,"2024-11-12 04:43:56"
188,44,1.1000,0,"2024-11-12 04:43:56"
189,21,4.2000,0,"2024-11-12 04:43:56"
190,5,3.7000,0,"2024-11-12 04:43:56"
191,3,1.8000,0,"2024-11-12 04:43:56"
192,7,0.6000,0,"2024-11-12 04:43:56"
193,10,1.6000,0,"2024-11-12 04:43:56"
194,2,4.8000,0,"2024-11-12 04:43:56"
195,19,3.5000,0,"2024-07-23 04:56:59"
196,41,4.8000,0,"2024-07-23 04:56:59"
197,30,2.7000,0,"2024-07-23 04:56:59"
198,3,3.8000,0,"2024-07-23 04:56:59"
199,7,2.7000,0,"2024-07-23 04:56:59"
200,8,2.2000,0,"2024-07-23 04:56:59"
201,3,2.6000,0,"2024-07-23 04:56:59"
202,2,2.2000,0,"2024-07-23 04:56:59"
203,9,0.7000,0,"2024-07-23 04:56:59"
204,7,0.8000,0,"2024-07-23 04:56:59"
205,33,2.6000,0,"2022-04-15 23:01:10"
206,32,1.3000,0,"2022-04-15 23:01:10"
207,24,2.7000,0,"2022-04-15 23:01:10"
208,8,1.8000,0,"2022-04-15 23:01:10"
209,4,3.8000,0,"2022-04-15 23:01:10"
210,6,3.1000,0,"2022-04-15 23:01:10"
211,5,0.5000,0,"2022-04-15 23:01:10"
212,10,3.9000,0,"2022-04-15 23:01:10"
213,23,4.4000,0,"2024-03-22 00:24:33"
214,27,4.9000,0,"2024-03-22 00:24:33"
215,41,0.9000,0,"2024-03-22 00:24:33"
216,6,2.5000,0,"2024-03-22 00:24:33"
217,3,3.0000,0,"2024-03-22 00:24:33"
218,5,2.5000,0,"2024-03-22 00:24:33"
219,6,3.9000,0,"2024-03-22 00:24:33"
220,8,2.5000,0,"2024-03-22 00:24:33"
221,44,3.1000,0,"2022-06-07 14:33:49"
222,18,3.2000,0,"2022-06-07 14:33:49"
223,17,3.1000,1,"2022-06-07 14:33:49"
224,18,0.9000,0,"2022-06-07 14:33:49"
225,22,4.4000,0,"2022-06-07 14:33:49"
226,28,3.4000,0,"2022-06-07 14:33:49"
227,41,2.7000,0,"2022-02-15 05:06:22"
228,29,4.5000,0,"2022-02-15 05:06:22"
229,9,0.6000,0,"2022-02-15 05:06:22"
230,3,1.6000,0,"2022-02-15 05:06:22"
231,8,1.8000,0,"2022-02-15 05:06:22"
232,7,3.9000,0,"2022-02-15 05:06:22"
233,6,4.8000,0,"2022-02-15 05:06:22"
234,7,0.6000,0,"2022-02-15 05:06:22"
235,45,1.8000,0,"2021-08-16 09:10:51"
236,14,0.8000,0,"2021-08-16 09:10:51"
237,43,2.9000,0,"2025-07-31 00:45:47"
238,22,4.8000,0,"2025-07-31 00:45:47"
239,17,3.3000,0,"2025-07-31 00:45:47"
240,7,0.8000,0,"2025-07-31 00:45:47"
241,2,4.5000,0,"2025-07-31 00:45:47"
242,2,3.1000,0,"2025-07-31 00:45:47"
243,3,2.4000,0,"2025-07-31 00:45:47"
244,6,2.8000,0,"2025-07-31 00:45:47"
245,49,4.9000,0,"2020-10-14 00:17:25"
246,29,4.1000,0,"2020-10-14 00:17:25"
247,9,4.9000,0,"2020-10-14 00:17:25"
248,8,1.0000,0,"2020-10-14 00:17:25"
249,2,2.7000,0,"2020-10-14 00:17:25"
250,2,2.3000,0,"2020-10-14 00:17:25"
251,2,2.0000,0,"2020-10-14 00:17:25"
252,10,4.2000,0,"2020-10-14 00:17:25"
253,45,2.5000,0,"2024-04-25 06:46:34"
254,45,2.9000,0,"2024-04-25 06:46:34"
255,50,3.0000,0,"2024-04-25 06:46:34"
256,8,1.3000,0,"2024-04-25 06:46:34"
257,8,1.4000,0,"2024-04-25 06:46:34"
258,6,0.5000,0,"2024-04-25 06:46:34"
259,6,2.4000,0,"2024-04-25 06:46:34"
260,2,2.5000,0,"2024-04-25 06:46:34"
261,6,2.3000,0,"2024-04-25 06:46:34"
262,11,4.5000,0,"2024-04-25 06:46:34"
263,26,1.2000,0,"2024-04-25 06:46:34"
264,34,2.9000,0,"2024-04-25 06:46:34"
265,25,3.5000,1,"2024-04-25 06:46:34"
266,38,0.7000,0,"2024-04-25 06:46:34"
267,10,2.2000,0,"2024-04-25 06:46:34"
268,8,3.4000,0,"2024-04-25 06:46:34"
269,8,2.7000,0,"2024-04-25 06:46:34"
270,3,1.0000,1,"2024-04-25 06:46:34"
271,5,4.2000,0,"2024-04-25 06:46:34"
272,29,2.9000,0,"2024-04-25 06:46:34"
273,40,2.8000,0,"2024-04-25 06:46:34"
274,22,1.9000,0,"2024-04-25 06:46:34"
275,9,3.9000,0,"2024-04-25 06:46:34"
276,8,4.1000,0,"2024-04-25 06:46:34"
277,4,1.8000,0,"2024-04-25 06:46:34"
278,9,1.6000,0,"2024-04-25 06:46:34"
279,9,4.9000,0,"2024-04-25 06:46:34"
280,5,1.7000,0,"2024-04-25 06:46:34"
281,10,1.2000,0,"2024-04-25 06:46:34"
282,2,3.5000,0,"2024-04-25 06:46:34"
283,3,4.8000,0,"2024-04-25 06:46:34"
284,5,4.8000,0,"2024-04-25 06:46:34"
285,38,0.5000,0,"2025-02-24 19:56:57"
286,31,2.6000,0,"2025-02-24 19:56:57"
287,35,4.3000,0,"2025-02-24 19:56:57"
288,20,2.7000,0,"2025-02-24 19:56:57"
289,9,2.9000,0,"2025-02-24 19:56:57"
290,9,3.2000,0,"2025-02-24 19:56:57"
291,4,4.1000,0,"2025-02-24 19:56:57"
292,7,2.5000,0,"2025-02-24 19:56:57"
293,15,3.0000,0,"2026-02-05 20:26:35"
294,26,1.1000,0,"2026-02-05 20:26:35"
295,10,2.0000,0,"2026-02-05 20:26:35"
296,9,0.8000,0,"2026-02-05 20:26:35"
297,8,2.0000,0,"2026-02-05 20:26:35"
298,4,3.6000,0,"2026-02-05 20:26:35"
299,26,2.6000,0,"2025-12-15 11:44:25"
300,14,0.8000,0,"2025-12-15 11:44:25"
301,25,3.9000,0,"2025-12-15 11:44:25"
302,32,2.2000,0,"2025-12-15 11:44:25"
303,29,1.2000,0,"2025-12-15 11:44:25"
304,50,1.9000,0,"2025-12-15 11:44:25"
305,48,2.6000,0,"2024-03-04 23:09:28"
306,14,3.9000,0,"2024-03-04 23:09:28"
307,49,0.5000,0,"2024-03-04 23:09:28"
308,7,1.3000,0,"2024-03-04 23:09:28"
309,5,1.4000,0,"2024-03-04 23:09:28"
310,3,2.9000,0,"2024-03-04 23:09:28"
311,10,0.9000,0,"2024-03-04 23:09:28"
312,6,4.2000,0,"2024-03-04 23:09:28"
313,11,4.4000,0,"2021-04-06 23:49:19"
314,42,0.6000,0,"2021-04-06 23:49:19"
315,41,4.5000,0,"2021-04-06 23:49:19"
316,25,1.7000,0,"2021-04-06 23:49:19"
317,8,1.5000,0,"2021-04-06 23:49:19"
318,7,0.9000,0,"2021-04-06 23:49:19"
319,10,0.7000,0,"2021-04-06 23:49:19"
320,5,0.5000,0,"2021-04-06 23:49:19"
321,47,1.3000,1,"2022-04-22 17:24:44"
322,45,4.7000,0,"2022-04-22 17:24:44"
323,12,2.0000,0,"2022-04-22 17:24:44"
324,48,5.0000,0,"2022-04-22 17:24:44"
325,10,0.7000,0,"2022-04-22 17:24:44"
326,34,1.5000,0,"2022-04-22 17:24:44"
327,19,3.2000,0,"2022-04-22 17:24:44"
328,8,5.0000,1,"2022-04-22 17:24:44"
329,10,5.0000,0,"2025-12-23 00:08:17"
330,35,4.9000,0,"2025-12-23 00:08:17"
331,7,3.3000,0,"2025-12-23 00:08:17"
332,5,3.3000,0,"2025-12-23 00:08:17"
333,4,1.3000,0,"2025-12-23 00:08:17"
334,10,4.6000,0,"2025-12-23 00:08:17"
335,36,4.4000,0,"2020-11-09 19:25:59"
336,27,3.5000,0,"2020-11-09 19:25:59"
337,24,1.7000,0,"2020-11-09 19:25:59"
338,5,3.2000,0,"2020-11-09 19:25:59"
339,3,2.5000,0,"2020-11-09 19:25:59"
340,8,1.7000,0,"2020-11-09 19:25:59"
341,29,2.9000,0,"2025-10-21 15:50:48"
342,23,4.3000,0,"2025-10-21 15:50:48"
343,44,1.0000,0,"2025-10-21 15:50:48"
344,29,1.6000,0,"2025-10-21 15:50:48"
345,10,3.4000,0,"2025-10-21 15:50:48"
346,29,5.0000,0,"2025-10-21 15:50:48"
347,21,1.5000,0,"2020-12-07 23:21:27"
348,49,0.5000,0,"2020-12-07 23:21:27"
349,39,2.7000,1,"2020-12-07 23:21:27"
350,4,2.7000,0,"2020-12-07 23:21:27"
351,7,4.6000,0,"2020-12-07 23:21:27"
352,4,0.9000,0,"2020-12-07 23:21:27"
353,6,0.7000,0,"2020-12-07 23:21:27"
354,8,3.9000,0,"2020-12-07 23:21:27"
355,11,1.9000,0,"2024-06-10 20:11:49"
356,49,1.6000,0,"2024-06-10 20:11:49"
357,29,1.2000,0,"2024-06-10 20:11:49"
358,8,3.1000,0,"2024-06-10 20:11:49"
359,10,3.7000,0,"2024-06-10 20:11:49"
360,5,0.8000,0,"2024-06-10 20:11:49"
361,44,2.6000,0,"2020-08-05 17:55:34"
362,18,1.8000,0,"2020-08-05 17:55:34"
363,30,3.6000,0,"2020-08-05 17:55:34"
364,8,4.6000,0,"2020-08-05 17:55:34"
365,8,3.3000,0,"2020-08-05 17:55:34"
366,2,0.5000,0,"2020-08-05 17:55:34"
367,37,0.9000,0,"2022-04-04 23:31:50"
368,15,2.9000,0,"2022-04-04 23:31:50"
369,15,4.8000,0,"2022-04-04 23:31:50"
370,2,3.1000,0,"2022-04-04 23:31:50"
371,7,3.3000,0,"2022-04-04 23:31:50"
372,6,4.0000,0,"2022-04-04 23:31:50"
373,7,4.3000,0,"2022-04-04 23:31:50"
374,3,2.2000,0,"2022-04-04 23:31:50"
375,10,1.6000,0,"2024-06-18 00:05:19"
376,40,3.2000,0,"2024-06-18 00:05:19"
377,44,3.7000,0,"2024-06-18 00:05:19"
378,3,3.8000,0,"2024-06-18 00:05:19"
379,6,3.6000,0,"2024-06-18 00:05:19"
380,7,2.3000,0,"2024-06-18 00:05:19"
381,2,1.0000,0,"2024-06-18 00:05:19"
382,6,3.5000,0,"2024-06-18 00:05:19"
383,19,1.4000,0,"2024-12-09 19:11:32"
384,26,1.5000,0,"2024-12-09 19:11:32"
385,45,2.0000,0,"2024-12-09 19:11:32"
386,4,2.3000,0,"2024-12-09 19:11:32"
387,5,3.5000,1,"2024-12-09 19:11:32"
388,3,2.1000,0,"2024-12-09 19:11:32"
389,45,2.4000,0,"2024-01-02 02:13:16"
390,19,4.4000,0,"2024-01-02 02:13:16"
391,36,2.6000,0,"2024-01-02 02:13:16"
392,3,0.8000,0,"2024-01-02 02:13:16"
393,3,1.0000,1,"2024-01-02 02:13:16"
394,4,2.4000,0,"2024-01-02 02:13:16"
395,6,4.9000,0,"2024-01-02 02:13:16"
396,10,2.1000,0,"2024-01-02 02:13:16"
397,10,4.4000,0,"2023-10-21 00:27:34"
398,12,4.5000,0,"2023-10-21 00:27:34"
399,43,0.6000,0,"2023-10-21 00:27:34"
400,8,4.1000,0,"2023-10-21 00:27:34"
401,8,3.4000,0,"2023-10-21 00:27:34"
402,7,2.6000,0,"2023-10-21 00:27:34"
403,7,4.9000,0,"2023-10-21 00:27:34"
404,7,1.8000,0,"2023-10-21 00:27:34"
405,13,0.6000,0,"2020-10-27 20:46:53"
406,12,2.4000,0,"2020-10-27 20:46:53"
407,17,3.8000,0,"2020-10-27 20:46:53"
408,31,4.8000,0,"2020-10-27 20:46:53"
409,34,3.3000,0,"2020-10-27 20:46:53"
410,6,0.8000,0,"2020-10-27 20:46:53"
411,10,3.3000,0,"2020-10-27 20:46:53"
412,10,4.2000,0,"2020-10-27 20:46:53"
413,45,3.1000,0,"2021-09-22 18:22:28"
414,45,2.1000,0,"2021-09-22 18:22:28"
415,16,1.6000,1,"2021-09-22 18:22:28"
416,8,4.9000,0,"2021-09-22 18:22:28"
417,8,1.2000,0,"2021-09-22 18:22:28"
418,6,0.8000,0,"2021-09-22 18:22:28"
419,2,3.6000,0,"2021-09-22 18:22:28"
420,23,2.7000,0,"2021-09-22 18:22:28"
421,41,4.7000,0,"2021-09-22 18:22:28"
422,9,3.6000,0,"2021-09-22 18:22:28"
423,10,4.0000,0,"2021-09-22 18:22:28"
424,3,3.8000,0,"2021-09-22 18:22:28"
425,45,2.6000,0,"2024-12-18 23:32:35"
426,37,2.7000,0,"2024-12-18 23:32:35"
427,18,3.6000,0,"2024-12-18 23:32:35"
428,26,1.2000,0,"2024-12-18 23:32:35"
429,11,3.2000,0,"2024-12-18 23:32:35"
430,2,1.0000,0,"2024-12-18 23:32:35"
431,3,2.1000,0,"2024-12-18 23:32:35"
432,10,3.2000,0,"2024-12-18 23:32:35"
433,5,2.7000,0,"2024-12-18 23:32:35"
434,8,4.7000,0,"2024-12-18 23:32:35"
435,8,0.7000,0,"2024-12-18 23:32:35"
436,3,2.6000,0,"2024-12-18 23:32:35"
437,36,1.6000,0,"2024-12-18 23:32:35"
438,44,1.0000,0,"2024-12-18 23:32:35"
439,33,1.3000,0,"2024-12-18 23:32:35"
440,30,3.2000,0,"2024-12-18 23:32:35"
441,7,1.4000,0,"2024-12-18 23:32:35"
442,9,3.6000,0,"2024-12-18 23:32:35"
443,8,3.2000,0,"2024-12-18 23:32:35"
444,8,3.9000,0,"2024-12-18 23:32:35"
445,7,2.4000,0,"2024-12-18 23:32:35"
446,10,3.8000,0,"2024-12-18 23:32:35"
447,9,3.6000,0,"2024-12-18 23:32:35"
448,50,0.7000,0,"2024-12-18 23:32:35"
449,11,0.7000,0,"2024-12-18 23:32:35"
450,31,3.3000,0,"2024-12-18 23:32:35"
451,18,4.0000,0,"2024-12-18 23:32:35"
452,4,3.0000,0,"2024-12-18 23:32:35"
453,10,4.5000,0,"2024-12-18 23:32:35"
454,4,3.7000,0,"2024-12-18 23:32:35"
455,8,2.3000,0,"2024-12-18 23:32:35"
456,3,0.8000,0,"2024-12-18 23:32:35"
457,14,5.0000,0,"2025-11-05 03:24:38"
458,28,0.6000,0,"2025-11-05 03:24:38"
459,43,2.9000,0,"2025-11-05 03:24:38"
460,29,4.4000,0,"2025-11-05 03:24:38"
461,38,0.6000,0,"2025-11-05 03:24:38"
462,7,1.9000,0,"2025-11-05 03:24:38"
463,10,2.5000,0,"2025-11-05 03:24:38"
464,8,3.2000,0,"2025-11-05 03:24:38"
465,3,4.1000,0,"2025-11-05 03:24:38"
466,5,1.6000,0,"2025-11-05 03:24:38"
467,4,3.2000,0,"2025-11-05 03:24:38"
468,6,1.1000,0,"2025-11-05 03:24:38"
469,27,0.8000,0,"2020-06-04 17:29:54"
470,33,4.1000,0,"2020-06-04 17:29:54"
471,16,2.8000,0,"2020-06-04 17:29:54"
472,50,4.2000,1,"2020-06-04 17:29:54"
473,11,4.7000,0,"2020-06-04 17:29:54"
474,22,1.9000,0,"2020-06-04 17:29:54"
475,10,0.8000,1,"2020-06-04 17:29:54"
