id,connections,avg_query_time_ms,slow_queries,created_at
1,44,4.5000,0,"2022-02-19 04:46:37"
2,32,2.4000,0,"2022-02-19 04:46:37"
3,32,4.2000,0,"2022-02-19 04:46:37"
4,66,1.1000,0,"2022-02-19 04:46:37"
5,44,1.7000,0,"2022-02-19 04:46:37"
6,7,2.7000,0,"2022-02-19 04:46:37"
7,17,4.3000,0,"2022-02-19 04:46:37"
8,15,2.7000,0,"2022-02-19 04:46:37"
9,6,3.4000,0,"2022-02-19 04:46:37"
10,8,2.3000,0,"2022-02-19 04:46:37"
11,66,3.0000,0,"2021-01-28 00:01:25"
12,36,1.9000,0,"2021-01-28 00:01:25"
13,69,3.3000,0,"2021-01-28 00:01:25"
14,6,2.9000,0,"2021-01-28 00:01:25"
15,18,0.6000,0,"2021-01-28 00:01:25"
16,5,3.0000,0,"2021-01-28 00:01:25"
17,18,2.6000,0,"2021-01-28 00:01:25"
18,14,3.3000,0,"2021-01-28 00:01:25"
19,54,3.7000,0,"2025-05-20 20:58:14"
20,60,1.8000,0,"2025-05-20 20:58:14"
21,35,3.5000,0,"2025-05-20 20:58:14"
22,8,2.1000,0,"2025-05-20 20:58:14"
23,5,0.5000,0,"2025-05-20 20:58:14"
24,61,0.5000,0,"2022-03-17 00:24:15"
25,52,1.4000,0,"2022-03-17 00:24:15"
26,33,2.9000,1,"2022-03-17 00:24:15"
27,19,1.8000,0,"2022-03-17 00:24:15"
28,7,2.8000,0,"2022-03-17 00:24:15"
29,13,0.5000,0,"2022-03-17 00:24:15"
30,20,0.9000,0,"2022-03-17 00:24:15"
31,14,1.8000,0,"2022-03-17 00:24:15"
32,53,1.6000,0,"2025-08-24 05:29:49"
33,41,1.3000,0,"2025-08-24 05:29:49"
34,70,1.6000,0,"2025-08-24 05:29:49"
35,45,4.4000,0,"2025-08-24 05:29:49"
36,35,0.6000,0,"2025-08-24 05:29:49"
37,8,4.0000,0,"2025-08-24 05:29:49"
38,19,2.7000,0,"2025-08-24 05:29:49"
39,16,4.0000,0,"2025-08-24 05:29:49"
40,20,2.8000,0,"2025-08-24 05:29:49"
41,13,0.5000,0,"2025-08-24 05:29:49"
42,5,1.9000,0,"2025-08-24 05:29:49"
43,8,1.3000,0,"2025-08-24 05:29:49"
44,15,2.7000,0,"2025-08-24 05:29:49"
45,59,1.0000,0,"2025-08-24 05:29:49"
46,53,4.6000,0,"2025-08-24 05:29:49"
47,46,4.0000,0,"2025-08-24 05:29:49"
48,31,3.9000,0,"2025-08-24 05:29:49"
49,8,2.7000,0,"2025-08-24 05:29:49"
50,13,0.9000,0,"2025-08-24 05:29:49"
51,15,4.2000,2,"2025-08-24 05:29:49"
52,19,4.6000,2,"2025-08-24 05:29:49"
53,5,0.6000,0,"2025-08-24 05:29:49"
54,19,4.9000,0,"2025-08-24 05:29:49"
55,19,2.5000,0,"2025-08-24 05:29:49"
56,10,4.6000,0,"2025-08-24 05:29:49"
57,18,2.7000,0,"2025-08-24 05:29:49"
58,8,3.1000,1,"2025-08-24 05:29:49"
59,9,3.2000,0,"2025-08-24 05:29:49"
60,16,1.5000,0,"2025-08-24 05:29:49"
61,16,1.9000,0,"2025-08-24 05:29:49"
62,8,2.5000,0,"2025-08-24 05:29:49"
63,15,1.2000,0,"2025-08-24 05:29:49"
64,31,3.1000,0,"2023-10-02 21:16:21"
65,43,3.9000,0,"2023-10-02 21:16:21"
66,15,2.8000,0,"2023-10-02 21:16:21"
67,13,2.9000,2,"2023-10-02 21:16:21"
68,13,2.9000,0,"2023-10-02 21:16:21"
69,6,2.4000,0,"2023-10-02 21:16:21"
70,68,3.6000,0,"2023-01-02 19:23:03"
71,36,3.3000,0,"2023-01-02 19:23:03"
72,38,1.5000,0,"2023-01-02 19:23:03"
