rank,forename,incidence,frequency,gender,gender_percentage,,lastname
1,Mary,2229082,1:48,Female,99,,"1. dela Cruz * (625,650)"
2,Maria,873664,1:121,Female,99,,"2. García * (441,075)"
3,John,661521,1:160,Male,99,,"3. Reyes * (412,750)"
4,Jose,643811,1:165,Male,99,,"4. Ramos * (375,999)"
5,Mark,630830,1:168,Male,100,,"5. Mendoza * (372,042)"
6,Michael,547421,1:194,Male,99,,"6. Santos * (342,746)"
7,Joel,467300,1:227,Male,99,,"7. Flores * (312,187)"
8,Romeo,458768,1:231,Male,99,,"8. Del Rosario * (293,787)"
9,Antonio,426223,1:249,Male,99,,"9. Bautista * (287,625)"
10,Reynaldo,415417,1:255,Male,99,,"10. Villanueva * (277,730)"
11,Jocelyn,407964,1:260,Female,99,,11. Fernández *
12,Rolando,407600,1:260,Male,99,,12. Cruz *
13,Danilo,401658,1:264,Male,99,,13. Gonzales *
14,Joseph,379099,1:280,Male,99,,14. López *
15,Richard,367156,1:289,Male,99,,15. Pérez *
16,Rogelio,358406,1:296,Male,99,,16. Castillo *
17,Teresita,358163,1:296,Female,99,,17. Francisco *
18,Eduardo,354596,1:299,Male,99,,18. Rivera *
19,Roberto,353778,1:300,Male,99,,19. Aquino*
20,Maricel,328469,1:323,Female,99,,20. Castro*
21,Evelyn,321804,1:329,Female,99,,21. Sánchez *
22,Josephine,310590,1:341,Female,99,,22. Torres *
23,Ronald,309336,1:343,Male,99,,23. de León *
24,Rodolfo,305129,1:347,Male,99,,24. Domingo *
25,Ernesto,305027,1:348,Male,99,,25. Martínez *
26,Mario,301184,1:352,Male,99,,26. Rodríguez *
27,Edwin,292129,1:363,Male,99,,27. Santiago *
28,Marilyn,283481,1:374,Female,99,,28. Soriano *
29,Rowena,282645,1:375,Female,99,,29. delos Santos *
30,Alfredo,282274,1:376,Male,99,,30. Díaz *
31,Erlinda,281992,1:376,Female,99,,31. Hernández *
32,Jennifer,280696,1:378,Female,97,,32. Tolentino *
33,Noel,279053,1:380,Male,99,,33. Valdez *
34,Ricardo,279015,1:380,Male,99,,34. Ramírez *
35,Jonathan,272990,1:388,Male,99,,35. Morales *
36,Allan,270347,1:392,Male,99,,36. Mercado *
37,Francisco,266087,1:398,Male,99,,"37. Tan ***/**** (Hokkien ?, sometimes Tausug)"
38,Marites,266015,1:399,Female,99,,38. Aguilar *
39,Arnel,264980,1:400,Male,99,,39. Navarro *
40,Marlon,264773,1:400,Male,99,,40. Manalo **** (Tagalog)
41,Gina,263879,1:402,Female,99,,41. Gómez *
42,Michelle,261145,1:406,Female,99,,42. Dizon *** (Hokkien ??)
43,Renato,249270,1:425,Male,99,,43. De Guzman *
44,Jerry,245986,1:431,Male,98,,44. Javier *
45,Elizabeth,245651,1:432,Female,99,,45. Córpuz *****
46,Marilou,242029,1:438,Female,99,,46. Gutiérrez *
47,Gloria,239804,1:442,Female,99,,47. Salvador *
48,Jeffrey,237305,1:447,Male,100,,48. Velasco *
49,Manuel,236492,1:448,Male,99,,49. Miranda *
50,Ryan,236394,1:448,Male,99,,50. David *
51,Alvin,220675,1:480,Male,99,,51. Salazar *
52,Virginia,218869,1:484,Female,99,,52. Ferrer *
53,Fernando,217893,1:487,Male,99,,53. Álvarez *
54,Christopher,217444,1:488,Male,100,,54. Sarmiento *
55,Ariel,216873,1:489,Male,99,,55. Pascual *
56,Jaime,210343,1:504,Male,99,,56. Lim *** (Hokkien ?)
57,Christian,208708,1:508,Male,98,,57. delos Reyes*
58,Dennis,208472,1:509,Male,99,,58. Marquez *
59,Jesus,206839,1:513,Male,99,,59. Jiménez *
60,Jayson,206685,1:513,Male,100,,60. Cortez *
61,Rosemarie,205947,1:515,Female,99,,61. Antonio *
62,Edgar,205519,1:516,Male,99,,62. Agustín *
63,Randy,204952,1:517,Male,99,,63. Rosales *
64,Alberto,204829,1:518,Male,99,,64. Manuel *
